sigOut,sigIn,sigPot
1.328,1.000,0.000
1.323,1.000,0.000
1.323,1.000,0.000
1.323,1.000,0.000
1.323,1.000,0.000
1.323,1.000,0.000
1.318,1.000,0.000
1.323,1.000,-0.005
1.323,1.000,0.000
1.323,1.000,0.000
1.323,1.000,0.000
1.323,1.000,0.000
1.323,1.000,0.000
1.323,1.000,0.000
1.323,1.000,0.000
1.323,1.000,0.000
1.323,1.000,0.000
1.318,1.000,0.000
1.323,1.000,0.000
1.323,1.000,0.000
1.323,1.000,0.000
1.323,1.000,0.000
1.323,1.000,0.000
1.323,1.000,0.000
1.323,1.000,0.000
1.323,1.000,0.000
1.323,1.000,0.000
1.323,1.000,0.000
1.323,1.000,0.000
1.323,1.000,0.000
1.323,1.000,0.000
1.323,1.000,0.000
1.323,1.000,0.000
1.323,1.000,0.000
1.323,1.000,0.000
1.328,1.000,0.000
1.323,1.000,0.000
1.328,1.000,0.000
1.328,1.000,0.000
1.323,1.000,0.000
1.323,1.000,0.000
1.323,1.000,0.000
1.323,1.000,0.000
1.323,1.000,0.000
1.323,1.000,0.000
1.323,1.000,0.000
1.323,1.000,0.000
1.323,1.000,0.000
1.323,1.000,0.000
1.323,1.000,0.000
1.323,1.000,0.000
1.323,1.000,0.000
1.323,1.000,0.000
1.318,1.000,0.000
1.318,1.000,0.000
1.323,1.000,0.000
1.323,1.000,0.000
1.323,1.000,0.000
1.323,1.000,0.000
1.318,1.000,0.000
1.318,1.000,0.000
1.318,1.000,0.000
1.318,1.000,0.000
1.318,1.000,0.000
1.318,1.000,0.000
1.318,1.000,0.000
1.313,1.000,0.000
1.318,1.000,0.000
1.318,1.000,-0.005
1.318,1.000,0.000
1.318,1.000,0.000
1.318,1.000,0.000
1.318,1.000,-0.005
1.313,1.000,0.000
1.313,1.000,0.000
1.313,1.000,0.000
1.313,1.000,0.000
1.313,1.000,0.000
1.313,1.000,0.000
1.313,1.000,0.000
1.313,1.000,0.000
1.313,1.000,0.000
1.313,1.000,0.000
1.313,1.000,0.000
1.313,1.000,0.000
1.313,1.000,0.000
1.318,1.000,0.000
1.313,1.000,0.000
