time,snimac1_1,snimac2_1,spir_1,vent_1
1154.7,6.2548828125,5.439453125,2,2
1154.8,6.25,5.41015625,2,2
1154.9,6.2451171875,5.478515625,2,2
1155,6.23046875,5.478515625,2,2
1155.1,6.26953125,5.5126953125,2,2
1155.2,6.279296875,5.478515625,2,2
1155.3,6.2451171875,5.4296875,2,2
1155.4,6.2158203125,5.4296875,2,2
1155.5,6.25,5.4443359375,2,2
1155.6,6.2353515625,5.46875,2,2
1155.7,6.220703125,5.517578125,2,2
1155.8,6.240234375,5.517578125,2,2
1155.9,6.259765625,5.458984375,2,2
1156,6.2255859375,5.46875,2,2
1156.1,6.2646484375,5.458984375,2,2
1156.2,6.2646484375,5.4736328125,2,2
1156.3,6.25,5.478515625,2,2
1156.4,6.259765625,5.4443359375,2,2
1156.5,6.259765625,5.46875,2,2
1156.6,6.259765625,5.4638671875,2,2
1156.7,6.2451171875,5.4638671875,2,2
1156.8,6.2744140625,5.52734375,2,2
1156.9,6.279296875,5.4736328125,2,2
1157,6.25,5.44921875,2,2
1157.1,6.2255859375,5.498046875,2,2
1157.2,6.25,5.46875,2,2
1157.3,6.2841796875,5.5126953125,2,2
1157.4,6.2548828125,5.5126953125,2,2
1157.5,6.240234375,5.458984375,2,2
1157.6,6.2353515625,5.4150390625,2,2
1157.7,6.2353515625,5.4833984375,2,2
1157.8,6.2353515625,5.4833984375,2,2
1157.9,6.2548828125,5.4931640625,2,2
1158,6.26953125,5.4248046875,2,2
1158.1,6.259765625,5.44921875,2,2
1158.2,6.2646484375,5.4541015625,2,2
1158.3,6.26953125,5.4736328125,2,2
1158.4,6.201171875,5.5078125,2,2
1158.5,6.259765625,5.5029296875,2,2
1158.6,6.2646484375,5.44921875,2,2
1158.7,6.2451171875,5.4443359375,2,2
1158.8,6.2548828125,5.4833984375,2,2
1158.9,6.3037109375,5.52734375,2,2
1159,6.2744140625,5.458984375,2,2
1159.1,6.2890625,5.478515625,2,2
1159.2,6.2646484375,5.4150390625,2,2
1159.3,6.240234375,5.4931640625,2,2
1159.4,6.2646484375,5.5078125,2,2
1159.5,6.30859375,5.4931640625,2,2
1159.6,6.279296875,5.46875,2,2
1159.7,6.25,5.4248046875,2,2
1159.8,6.2451171875,5.478515625,2,2
1159.9,6.2451171875,5.458984375,2,2
1160,6.2744140625,5.517578125,2,2
1160.1,6.279296875,5.4638671875,2,2
1160.2,6.2744140625,5.439453125,2,2
1160.3,6.279296875,5.458984375,2,2
1160.4,6.2451171875,5.4833984375,2,2
1160.5,6.259765625,5.4736328125,2,2
1160.6,6.298828125,5.4931640625,2,2
1160.7,6.26953125,5.5322265625,2,2
1160.8,6.26953125,5.44921875,2,2
1160.9,6.2451171875,5.46875,2,2
1161,6.26953125,5.5029296875,2,2
1161.1,6.26953125,5.5029296875,2,2
1161.2,6.2939453125,5.5224609375,2,2
1161.3,6.26953125,5.46875,2,2
1161.4,6.2451171875,5.478515625,2,2
1161.5,6.26953125,5.46875,2,2
1161.6,6.2646484375,5.4931640625,2,2
1161.7,6.2939453125,5.5078125,2,2
1161.8,6.298828125,5.4833984375,2,2
1161.9,6.2841796875,5.4150390625,2,2
1162,6.2451171875,5.458984375,2,2
1162.1,6.259765625,5.48828125,2,2
1162.2,6.2744140625,5.48828125,2,2
1162.3,6.279296875,5.478515625,2,2
1162.4,6.2548828125,5.46875,2,2
1162.5,6.2548828125,5.46875,2,2
1162.6,6.2548828125,5.46875,2,2
1162.7,6.279296875,5.4052734375,2,2
1162.8,6.298828125,5.478515625,2,2
1162.9,6.298828125,5.5224609375,2,2
1163,6.259765625,5.498046875,2,2
1163.1,6.259765625,5.5126953125,2,2
1163.2,6.2451171875,5.48828125,2,2
1163.3,6.2646484375,5.517578125,2,2
1163.4,6.2841796875,5.4833984375,2,2
1163.5,6.2841796875,5.439453125,2,2
1163.6,6.279296875,5.4931640625,2,2
1163.7,6.2646484375,5.5029296875,2,2
1163.8,6.2451171875,5.46875,2,2
1163.9,6.298828125,5.4736328125,2,2
1164,6.2841796875,5.439453125,2,2
1164.1,6.26953125,5.48828125,2,2
1164.2,6.26953125,5.4931640625,2,2
1164.3,6.25,5.4736328125,2,2
1164.4,6.2890625,5.498046875,2,2
1164.5,6.30859375,5.5517578125,2,2
1164.6,6.259765625,5.4833984375,2,2
1164.7,6.2548828125,5.4833984375,2,2
1164.8,6.26953125,5.48828125,2,2
1164.9,6.2841796875,5.48828125,2,2
1165,6.2939453125,5.5029296875,2,2
1165.1,6.279296875,5.4833984375,2,2
1165.2,6.2744140625,5.5224609375,2,2
1165.3,6.2939453125,5.4736328125,2,2
1165.4,6.2744140625,5.478515625,2,2
1165.5,6.3134765625,5.4833984375,2,2
1165.6,6.26953125,5.537109375,2,2
1165.7,6.25,5.517578125,2,2
1165.8,6.25,5.5224609375,2,2
1165.9,6.259765625,5.48828125,2,2
1166,6.25,5.458984375,2,2
1166.1,6.279296875,5.517578125,2,2
1166.2,6.279296875,5.5126953125,2,2
1166.3,6.259765625,5.5126953125,2,2
1166.4,6.25,5.5126953125,2,2
1166.5,6.2548828125,5.4931640625,2,2
1166.6,6.2890625,5.52734375,2,2
1166.7,6.279296875,5.46875,2,2
1166.8,6.259765625,5.46875,2,2
1166.9,6.240234375,5.4931640625,2,2
1167,6.26953125,5.5224609375,2,2
1167.1,6.2451171875,5.4931640625,2,2
1167.2,6.3037109375,5.5419921875,2,2
1167.3,6.26953125,5.5419921875,2,2
1167.4,6.2548828125,5.517578125,2,2
1167.5,6.2451171875,5.4833984375,2,2
1167.6,6.2841796875,5.4833984375,2,2
1167.7,6.3037109375,5.556640625,2,2
1167.8,6.279296875,5.5419921875,2,2
1167.9,6.26953125,5.48828125,2,2
1168,6.259765625,5.5322265625,2,2
1168.1,6.2841796875,5.5078125,2,2
1168.2,6.2744140625,5.5224609375,2,2
1168.3,6.3134765625,5.498046875,2,2
1168.4,6.259765625,5.5224609375,2,2
1168.5,6.259765625,5.5224609375,2,2
1168.6,6.259765625,5.5419921875,2,2
1168.7,6.2548828125,5.537109375,2,2
1168.8,6.2841796875,5.5224609375,2,2
1168.9,6.279296875,5.556640625,2,2
1169,6.259765625,5.517578125,2,2
1169.1,6.2548828125,5.5419921875,2,2
1169.2,6.2548828125,5.5517578125,2,2
1169.3,6.259765625,5.5224609375,2,2
1169.4,6.30859375,5.517578125,2,2
1169.5,6.25,5.46875,2,2
1169.6,6.25,5.458984375,2,2
1169.7,6.2646484375,5.44921875,2,2
1169.8,6.26953125,5.5029296875,2,2
1169.9,6.30859375,5.5126953125,2,2
1170,6.2841796875,5.5029296875,2,2
1170.1,6.2646484375,5.478515625,2,2
1170.2,6.259765625,5.46875,2,2
1170.3,6.2548828125,5.5224609375,2,2
1170.4,6.26953125,5.546875,2,2
1170.5,6.2939453125,5.546875,2,2
1170.6,6.26953125,5.4833984375,2,2
1170.7,6.259765625,5.44921875,2,2
1170.8,6.2548828125,5.46875,2,2
1170.9,6.25,5.52734375,2,2
1171,6.3134765625,5.5517578125,2,2
1171.1,6.3232421875,5.5322265625,2,2
1171.2,6.2451171875,5.439453125,2,2
1171.3,6.2548828125,5.4541015625,2,2
1171.4,6.279296875,5.4931640625,2,2
1171.5,6.2744140625,5.6298828125,2,2
1171.6,6.3232421875,5.52734375,2,2
1171.7,6.2646484375,5.498046875,2,2
1171.8,6.25,5.5126953125,2,2
1171.9,6.2890625,5.5078125,2,2
1172,6.2744140625,5.537109375,2,2
1172.1,6.2841796875,5.5419921875,2,2
1172.2,6.3037109375,5.46875,2,2
1172.3,6.259765625,5.5419921875,2,2
1172.4,6.279296875,5.46875,2,2
1172.5,6.279296875,5.478515625,2,2
1172.6,6.2841796875,5.5419921875,2,2
1172.7,6.2939453125,5.5224609375,2,2
1172.8,6.2744140625,5.498046875,2,2
1172.9,6.2744140625,5.4736328125,2,2
1173,6.2744140625,5.478515625,2,2
1173.1,6.26953125,5.4931640625,2,2
1173.2,6.2841796875,5.556640625,2,2
1173.3,6.30859375,5.5322265625,2,2
1173.4,6.26953125,5.48828125,2,2
1173.5,6.2890625,5.4443359375,2,2
1173.6,6.2548828125,5.44921875,2,2
1173.7,6.26953125,5.5078125,2,2
1173.8,6.3134765625,5.5078125,2,2
1173.9,6.240234375,5.478515625,2,2
1174,6.2841796875,5.498046875,2,2
1174.1,6.2646484375,5.517578125,2,2
1174.2,6.298828125,5.4833984375,2,2
1174.3,6.2451171875,5.546875,2,2
1174.4,6.2841796875,5.5517578125,2,2
1174.5,6.2744140625,5.52734375,2,2
1174.6,6.2890625,5.5126953125,2,2
1174.7,6.2548828125,5.5078125,2,2
1174.8,6.318359375,5.4833984375,2,2
1174.9,6.2939453125,5.498046875,2,2
1175,6.279296875,5.4638671875,2,2
1175.1,6.25,5.52734375,2,2
1175.2,6.2646484375,5.5322265625,2,2
1175.3,6.298828125,5.46875,2,2
1175.4,6.328125,5.5029296875,2,2
1175.5,6.2841796875,5.517578125,2,2
1175.6,6.2744140625,5.5029296875,2,2
1175.7,6.26953125,5.4541015625,2,2
1175.8,6.2890625,5.478515625,2,2
1175.9,6.30859375,5.5078125,2,2
1176,6.30859375,5.52734375,2,2
1176.1,6.2744140625,5.4931640625,2,2
1176.2,6.259765625,5.498046875,2,2
1176.3,6.2548828125,5.458984375,2,2
1176.4,6.2890625,5.4248046875,2,2
1176.5,6.298828125,5.439453125,2,2
1176.6,6.298828125,5.458984375,2,2
1176.7,6.2841796875,5.4833984375,2,2
1176.8,6.26953125,5.5322265625,2,2
1176.9,6.2353515625,5.5078125,2,2
1177,6.26953125,5.556640625,2,2
1177.1,6.2890625,5.546875,2,2
1177.2,6.2548828125,5.4541015625,2,2
1177.3,6.2646484375,5.4833984375,2,2
1177.4,6.240234375,5.46875,2,2
1177.5,6.2646484375,5.4345703125,2,2
1177.6,6.3232421875,5.4736328125,2,2
1177.7,6.3037109375,5.4931640625,2,2
1177.8,6.2646484375,5.48828125,2,2
1177.9,6.2646484375,5.4541015625,2,2
1178,6.2744140625,5.4736328125,2,2
1178.1,6.2744140625,5.5517578125,2,2
1178.2,6.2890625,5.537109375,2,2
1178.3,6.279296875,5.498046875,2,2
1178.4,6.2646484375,5.498046875,2,2
1178.5,6.26953125,5.5224609375,2,2
1178.6,6.2646484375,5.5029296875,2,2
1178.7,6.2744140625,5.517578125,2,2
1178.8,6.2890625,5.5029296875,2,2
1178.9,6.259765625,5.517578125,2,2
1179,6.2841796875,5.5078125,2,2
1179.1,6.26953125,5.4931640625,2,2
1179.2,6.298828125,5.4833984375,2,2
1179.3,6.2744140625,5.478515625,2,2
1179.4,6.26953125,5.4833984375,2,2
1179.5,6.2451171875,5.5224609375,2,2
1179.6,6.2548828125,5.5322265625,2,2
1179.7,6.2451171875,5.4736328125,2,2
1179.8,6.3134765625,5.44921875,2,2
1179.9,6.2890625,5.4736328125,2,2
1180,6.25,5.4541015625,2,2
1180.1,6.279296875,5.439453125,2,2
1180.2,6.2646484375,5.48828125,2,2
1180.3,6.30859375,5.5078125,2,2
1180.4,6.298828125,5.5224609375,2,2
1180.5,6.25,5.5126953125,2,2
1180.6,6.26953125,5.4736328125,2,2
1180.7,6.2548828125,5.4736328125,2,2
1180.8,6.2841796875,5.46875,2,2
1180.9,6.279296875,5.5224609375,2,2
1181,6.25,5.537109375,2,2
1181.1,6.2548828125,5.517578125,2,2
1181.2,6.2646484375,5.5078125,2,2
1181.3,6.2548828125,5.5322265625,2,2
1181.4,6.30859375,5.52734375,2,2
1181.5,6.30859375,5.52734375,2,2
1181.6,6.2646484375,5.478515625,2,2
1181.7,6.2646484375,5.52734375,2,2
1181.8,6.2646484375,5.517578125,2,2
1181.9,6.26953125,5.498046875,2,2
1182,6.26953125,5.4736328125,2,2
1182.1,6.26953125,5.4443359375,2,2
1182.2,6.23046875,5.52734375,2,2
1182.3,6.259765625,5.5126953125,2,2
1182.4,6.279296875,5.5224609375,2,2
1182.5,6.2939453125,5.5224609375,2,2
1182.6,6.3134765625,5.537109375,2,2
1182.7,6.2646484375,5.4638671875,2,2
1182.8,6.2841796875,5.5078125,2,2
1182.9,6.2744140625,5.546875,2,2
1183,6.2890625,5.52734375,2,2
1183.1,6.3232421875,5.517578125,2,2
1183.2,6.2890625,5.5029296875,2,2
1183.3,6.26953125,5.478515625,2,2
1183.4,6.26953125,5.4638671875,2,2
1183.5,6.2548828125,5.5078125,2,2
1183.6,6.2890625,5.52734375,2,2
1183.7,6.2939453125,5.458984375,2,2
1183.8,6.259765625,5.5615234375,2,2
1183.9,6.2646484375,5.5419921875,2,2
1184,6.2548828125,5.517578125,2,2
1184.1,6.298828125,5.6640625,2,2
1184.2,6.259765625,5.5712890625,2,2
1184.3,6.240234375,5.5419921875,2,2
1184.4,6.2744140625,5.546875,2,2
1184.5,6.2890625,5.5224609375,2,2
1184.6,6.2451171875,5.517578125,2,2
1184.7,6.240234375,5.556640625,2,2
1184.8,6.2744140625,5.48828125,2,2
1184.9,6.259765625,5.5224609375,2,2
1185,6.259765625,5.537109375,2,2
1185.1,6.2890625,5.5224609375,2,2
1185.2,6.318359375,5.537109375,2,2
1185.3,6.279296875,5.52734375,2,2
1185.4,6.2548828125,5.5126953125,2,2
1185.5,6.2548828125,5.5126953125,2,2
1185.6,6.259765625,5.458984375,2,2
1185.7,6.26953125,5.517578125,2,2
1185.8,6.298828125,5.5712890625,2,2
1185.9,6.30859375,5.5419921875,2,2
1186,6.25,5.4931640625,2,2
1186.1,6.279296875,5.5078125,2,2
1186.2,6.2646484375,5.478515625,2,2
1186.3,6.3037109375,5.498046875,2,2
1186.4,6.26953125,5.5615234375,2,2
1186.5,6.279296875,5.4443359375,2,2
1186.6,6.279296875,5.5029296875,2,2
1186.7,6.26953125,5.546875,2,2
1186.8,6.2744140625,5.5419921875,2,2
1186.9,6.298828125,5.5224609375,2,2
1187,6.2890625,5.5419921875,2,2
1187.1,6.279296875,5.48828125,2,2
